UserID,UserName,Age,Gender,Email,TotalCoursesEnrolled,UniqueCategoriesEnrolled,AverageCoursesPerCategory,EnrollmentFrequency,TotalSpending,AverageSpending,Cat_Artificial Intelligence,Cat_Business,Cat_Cybersecurity,Cat_Data Science,Cat_Design,Cat_Digital Marketing,Cat_Finance,Cat_Machine Learning,Cat_Marketing,Cat_Programming,Cat_Project Management,Cat_Web Development,Level_Advanced,Level_Beginner,Level_Intermediate,AverageCourseRating,DiversityScore,LearningDepthIndex,Cluster
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,1,1,1.0,30.0,394.26,394.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.35,1.0,0.0,0
U00002,angela22,29,Female,hallrandy@hotmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.88,1.0,1.0,0
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,11,7,1.5714285714285714,1.0714285714285714,613.98,55.81636363636364,1,0,0,0,0,1,1,0,4,1,2,1,4,4,3,2.889090909090909,0.6363636363636364,0.8,1
U00004,fthornton,23,Female,christensencatherine@outlook.com,13,8,1.625,1.2111801242236024,982.05,75.54230769230769,2,0,0,2,0,3,1,1,2,0,1,1,3,4,6,3.451538461538461,0.6153846153846154,1.0,1
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,2,2,1.0,0.7142857142857142,346.71,173.355,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2.055,1.0,0.5,0
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,1,1,1.0,30.0,0.78,0.78,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.89,1.0,0.0,0
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.91,1.0,0.0,0
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.1,1.0,0.0,0
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,1,1,1.0,30.0,276.37,276.37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.72,1.0,0.0,0
U00010,qlam,34,Female,brian31@outlook.com,2,2,1.0,0.9836065573770492,326.02,163.01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3.165,1.0,1.0,0
U00011,ashley16,15,Female,guzmanantonio@outlook.com,2,2,1.0,0.3314917127071823,299.57,149.785,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3.205,1.0,0.5,0
U00012,mirandatimothy,15,Female,paula93@outlook.com,2,2,1.0,8.571428571428571,327.99,163.995,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1.515,1.0,0.5,0
U00013,cherrykathleen,33,Female,michelewatkins@outlook.com,14,8,1.75,1.2462908011869436,1432.33,102.3092857142857,0,1,1,2,0,2,0,3,0,1,2,2,5,5,4,2.869285714285714,0.5714285714285714,0.8333333333333334,1
U00014,huertatimothy,30,Male,gabrielanderson@yahoo.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.81,1.0,0.0,0
U00015,tbaker,27,Female,kelly33@yahoo.com,14,10,1.4,1.2316715542521994,2035.06,145.36142857142858,2,0,1,1,0,2,2,1,1,1,2,1,3,7,4,2.7607142857142857,0.7142857142857143,1.75,1
U00016,josephmullins,32,Male,amysparks@outlook.com,1,1,1.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.79,1.0,0.0,0
